unnamed: 0,model,colour,memory,ram,battery,rear_camera,front_camera,ai_lens,height,processor,prize,ram_num,memory_num,battery_num,rear_camera_num,front_camera_num,height_num
455,MOTOROLA Edge 30 Fusion,Solar Gold,128,8,4400,50MP,32MP,0,16.64,Qualcomm Snapdragon 888 +,34999,8.0,128.0,4400.0,50.0,32.0,16.64
456,POCO F5 5G,Carbon Black,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999,8.0,256.0,5000.0,64.0,16.0,16.94
458,vivo Y12G,Phantom Black,64,3,5000,13MP,8MP,0,16.54,Qualcomm Snapdragon 439,11209,3.0,64.0,5000.0,13.0,8.0,16.54
460,REDMI Note 12 Pro 5G,Onyx Black,256,8,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,26999,8.0,256.0,5000.0,50.0,16.0,16.94
465,realme C30s,Stripe Black,64,4,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499,4.0,64.0,5000.0,8.0,5.0,16.51
467,realme C30s,Stripe Black,64,4,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499,4.0,64.0,5000.0,8.0,5.0,16.51
469,SAMSUNG Galaxy A14 5G,Black,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),20999,8.0,128.0,5000.0,50.0,13.0,16.76
472,Google Pixel 7,Lemongrass,128,8,4270,50MP,8MP,0,16.0,Google Tensor G2,55999,8.0,128.0,4270.0,50.0,8.0,16.0
473,SAMSUNG Galaxy A23,Black,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),17499,6.0,128.0,5000.0,50.0,8.0,16.76
475,vivo Y56 5G,Orange Shimmer,128,8,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,19999,8.0,128.0,5000.0,50.0,16.0,16.71
476,vivo Y56 5G,Black Engine,128,4,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,17999,4.0,128.0,5000.0,50.0,16.0,16.71
477,realme Narzo 50A,Oxygen Blue,64,4,6000,50MP,8MP,0,16.51,MediaTek Helio G85,11499,4.0,64.0,6000.0,50.0,8.0,16.51
478,vivo Y75,Moonlight Shadow,128,8,4050,50MP,44MP,0,16.36,Mediatek G96,16988,8.0,128.0,4050.0,50.0,44.0,16.36
479,vivo Y16,Stellar Black,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,12989,4.0,128.0,5000.0,13.0,5.0,16.54
480,MOTOROLA g52,Metallic White,128,6,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680,13999,6.0,128.0,5000.0,50.0,16.0,16.76
481,vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,23999,8.0,128.0,4500.0,64.0,16.0,16.21
482,Redmi 9A Sport,Coral Green,32,2,5000,13MP,5MP,0,16.59,Helio G25,7190,2.0,32.0,5000.0,13.0,5.0,16.59
483,Redmi 9A Sport,Coral Green,32,3,5000,13MP,5MP,0,16.59,Helio G25,7990,3.0,32.0,5000.0,13.0,5.0,16.59
484,vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,23999,8.0,128.0,4500.0,64.0,16.0,16.21
485,SAMSUNG Galaxy A14 5G,Light Green,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),20999,8.0,128.0,5000.0,50.0,13.0,16.76
486,REDMI Note 11,Horizon Blue,64,4,5000,50MP,13MP,0,16.33,Snapdragon 680,12990,4.0,64.0,5000.0,50.0,13.0,16.33
487,vivo V25 5G,Elegant Black,128,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,27999,8.0,128.0,4500.0,64.0,50.0,16.36
488,SAMSUNG Galaxy A34 5G,Awesome Violet,256,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",32999,8.0,256.0,5000.0,48.0,13.0,16.76
